id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4555,Maison,Argenteuil,Val Notre Dame-Ambroise Thomas,3,2,65.5,286400
4556,Appartement,Saint-Ouen,Dock Saint Ouen,4,,86.5,502900
4557,Appartement,Drancy,Paris Campagne,1,,33.26,143000
4558,Appartement,,,4,3,72.1,290800
4559,Appartement,Neuilly-sur-Seine,Charles Laffitte,11,6,292,5460000
4560,Appartement,Draveil,Centre Ville-Mousseaux-Plaine,4,3,74.25,336400
4561,Appartement,Sarcelles,La Pepiniere-Malesherbes,4,3,76.1,239400
4562,Appartement,Paris 14,Mouton Duvernet,,,,411000
4563,Appartement,Bessancourt,Base Aerienne,4,,80.12,326000
4564,Maison,Saint-Maur-des-Fossés,La Pie,6,5,,995000
4565,Maison,,,6,4,179,170000
4566,Appartement,Levallois-Perret,Villiers-Danton,,,,365000
4567,Appartement,Levallois-Perret,Villiers-Danton,5,,123,1475000
4568,Appartement,Saint-Ouen,Dock Saint Ouen,5,,114,861350
4569,Appartement,Saint-Ouen,Dock Saint Ouen,4,,86.5,502900
4570,Appartement,La Courneuve,Balzac-Moulin Neuf,5,4,130,411000
4571,Maison,Nanterre,Plateau,5,4,102.15,860000
4572,Appartement,Paris 19,Manin-Jaurès,,,,642000
4573,Appartement,Rueil-Malmaison,Rueil sur Seine-Plaine-Gare,3,,59.5,399000
4574,Appartement,Rueil-Malmaison,Rueil sur Seine-Plaine-Gare,5,,87.17,765000
4575,Maison,Sannois,Pasteur II,6,4,120,599000
4576,Appartement,Draveil,Centre Ville-Mousseaux-Plaine,2,1,40.31,214000
4577,Appartement,Le Mesnil-Saint-Denis,Chateau,3,2,62.36,259200
4578,Appartement,Rueil-Malmaison,Plateau-Mont Valérien,3,2,62.67,444000
4579,Appartement,Rueil-Malmaison,Plateau-Mont Valérien,4,3,78.14,528000
4580,Appartement,Rueil-Malmaison,Rueil sur Seine-Plaine-Gare,2,,41.58,319000
4581,Appartement,Levallois-Perret,Villiers-Danton,2,,46.8,503000
4582,Appartement,Saint-Cyr-l'École,Gérard Philipe,3,2,55.26,265000
4583,Appartement,Saint-Cyr-l'École,Gérard Philipe,4,3,83.81,379000
4584,Appartement,Sceaux,Robinson,4,3,83.7,588300
4585,Appartement,Saint-Maur-des-Fossés,Adamville,4,3,91.3,530000
4586,Appartement,,,3,2,53.42,250842
4587,Appartement,Maisons-Laffitte,Centre,3,2,51.6,449000
4588,Appartement,Noisy-le-Sec,Boissière,4,,76.77,320017
4589,Maison,Guyancourt,Hameau de Villaroy,4,3,110,512000
4590,Appartement,Bondy,Le Saule Blanc,4,,70.64,295000
